confound,avg_abs_z_score,num_comments
0,1.33782095086583,37802042
1,1.483444215310008,31964161
2,1.4940686568604775,25342354
3,1.4891590267855042,21992290
4,1.4874123963192778,19832042
5,1.4815300272268892,18158223
6,1.4789695101739924,16945002
7,1.479179754218498,15881774
8,1.4786256972930898,14998733
9,1.4676740549099605,14209637
10,1.4579118813086476,13500224
11,1.4589299073680153,12922301
12,1.4580737058897142,12439473
13,1.455785326802275,11785293
14,1.452990606129273,11270790
15,1.4499072583313013,10814418
16,1.4437146494788051,10377326
17,1.446732524637492,10017737
18,1.4366775445338569,9717970
19,1.4322743832958522,9362165
20,1.437822437950133,9044645
21,1.4437875807770426,8765886
22,1.4365260723415707,8509934
23,1.4351319199271089,8297188
24,1.4357224816812506,8073421
25,1.431652120385133,7865756
26,1.4313898011835466,7613276
27,1.427278164381812,7382139
28,1.422225252668655,7232839
29,1.4123172700580962,6976508
30,1.413506915561887,6744043
31,1.4055960405911698,6648300
32,1.4245190319519765,6414600
33,1.4183999381626244,6240315
34,1.4109593522686883,6066995
35,1.4136878714970396,5992809
36,1.408671823469987,5839540
37,1.4018236786221006,5647557
38,1.400434019153766,5489485
39,1.393245121598482,5369727
40,1.392761253202255,5246177
41,1.3891460478215047,5142496
42,1.3893757385476373,5067174
43,1.3832032233951743,4949935
44,1.3751715433555318,4825797
45,1.377359452908537,4735647
46,1.3779858947604189,4619654
47,1.374423229487717,4569866
48,1.379533162531801,4507455
49,1.37787063023119,4431064
50,1.382000658350638,4330459
51,1.3830774183502892,4278224
52,1.3850090165278015,4207494
53,1.3840612003439678,4087594
54,1.387409381878262,4057653
55,1.3859349901755071,4017919
56,1.3811491930912048,4007663
57,1.3857270565042152,3954666
58,1.3817881738004083,3823090
59,1.3823828111505778,3802492
