GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
310M300US10180,10180,"Abilene, TX Metro Area",48156,1831
310M300US10420,10420,"Akron, OH Metro Area",53418,632
310M300US10500,10500,"Albany, GA Metro Area",40612,1238
310M300US10540,10540,"Albany, OR Metro Area",49515,1904
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",65743,762
310M300US10740,10740,"Albuquerque, NM Metro Area",50781,609
310M300US10780,10780,"Alexandria, LA Metro Area",42275,1374
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",62479,652
310M300US11020,11020,"Altoona, PA Metro Area",45664,1034
310M300US11100,11100,"Amarillo, TX Metro Area",53665,929
310M300US11180,11180,"Ames, IA Metro Area",52671,2162
310M300US11260,11260,"Anchorage, AK Metro Area",80724,1201
310M300US11460,11460,"Ann Arbor, MI Metro Area",65618,1092
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",43686,1491
310M300US11540,11540,"Appleton, WI Metro Area",63415,1305
310M300US11700,11700,"Asheville, NC Metro Area",48159,874
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",42418,999
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",61733,378
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",57514,1710
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",47564,1712
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",49064,1113
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",69717,545
310M300US12540,12540,"Bakersfield, CA Metro Area",50826,771
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",75646,633
310M300US12620,12620,"Bangor, ME Metro Area",47886,1189
310M300US12700,12700,"Barnstable Town, MA Metro Area",68048,1279
310M300US12940,12940,"Baton Rouge, LA Metro Area",55329,974
310M300US12980,12980,"Battle Creek, MI Metro Area",46213,1008
310M300US13020,13020,"Bay City, MI Metro Area",45983,1430
310M300US13140,13140,"Beaumont-Port Arthur, TX Metro Area",48962,1066
310M300US13220,13220,"Beckley, WV Metro Area",41141,1407
